2022-10-25 13:31:26 configure libctf-nobfd0:amd64 2.35.2-2 <none>
2022-10-25 13:31:26 status unpacked libctf-nobfd0:amd64 2.35.2-2
2022-10-25 13:31:26 status half-configured libctf-nobfd0:amd64 2.35.2-2
2022-10-25 13:31:26 status installed libctf-nobfd0:amd64 2.35.2-2
2022-10-25 13:31:26 configure file:amd64 1:5.39-3 <none>
2022-10-25 13:31:26 status unpacked file:amd64 1:5.39-3
2022-10-25 13:31:26 status half-configured file:amd64 1:5.39-3
2022-10-25 13:31:26 status installed file:amd64 1:5.39-3
2022-10-25 13:31:26 configure libgomp1:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libgomp1:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libgomp1:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libgomp1:amd64 10.2.1-6
2022-10-25 13:31:26 configure bzip2:amd64 1.0.8-4 <none>
2022-10-25 13:31:26 status unpacked bzip2:amd64 1.0.8-4
2022-10-25 13:31:26 status half-configured bzip2:amd64 1.0.8-4
2022-10-25 13:31:26 status installed bzip2:amd64 1.0.8-4
2022-10-25 13:31:26 configure libasan6:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libasan6:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libasan6:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libasan6:amd64 10.2.1-6
2022-10-25 13:31:26 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-10-25 13:31:26 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 13:31:26 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 13:31:26 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 13:31:26 configure libtirpc-dev:amd64 1.3.1-1+deb11u1 <none>
2022-10-25 13:31:26 status unpacked libtirpc-dev:amd64 1.3.1-1+deb11u1
2022-10-25 13:31:26 status half-configured libtirpc-dev:amd64 1.3.1-1+deb11u1
2022-10-25 13:31:26 status installed libtirpc-dev:amd64 1.3.1-1+deb11u1
2022-10-25 13:31:26 configure make:amd64 4.3-4.1 <none>
2022-10-25 13:31:26 status unpacked make:amd64 4.3-4.1
2022-10-25 13:31:26 status half-configured make:amd64 4.3-4.1
2022-10-25 13:31:26 status installed make:amd64 4.3-4.1
2022-10-25 13:31:26 configure libmpfr6:amd64 4.1.0-3 <none>
2022-10-25 13:31:26 status unpacked libmpfr6:amd64 4.1.0-3
2022-10-25 13:31:26 status half-configured libmpfr6:amd64 4.1.0-3
2022-10-25 13:31:26 status installed libmpfr6:amd64 4.1.0-3
2022-10-25 13:31:26 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2022-10-25 13:31:26 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 13:31:26 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 13:31:26 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-10-25 13:31:26 configure libsigsegv2:amd64 2.13-1 <none>
2022-10-25 13:31:26 status unpacked libsigsegv2:amd64 2.13-1
2022-10-25 13:31:26 status half-configured libsigsegv2:amd64 2.13-1
2022-10-25 13:31:26 status installed libsigsegv2:amd64 2.13-1
2022-10-25 13:31:26 configure xz-utils:amd64 5.2.5-2.1~deb11u1 <none>
2022-10-25 13:31:26 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-10-25 13:31:26 status half-configured xz-utils:amd64 5.2.5-2.1~deb11u1
2022-10-25 13:31:26 status installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-10-25 13:31:26 configure libquadmath0:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libquadmath0:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libquadmath0:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libquadmath0:amd64 10.2.1-6
2022-10-25 13:31:26 configure libmpc3:amd64 1.2.0-1 <none>
2022-10-25 13:31:26 status unpacked libmpc3:amd64 1.2.0-1
2022-10-25 13:31:26 status half-configured libmpc3:amd64 1.2.0-1
2022-10-25 13:31:26 status installed libmpc3:amd64 1.2.0-1
2022-10-25 13:31:26 configure libatomic1:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libatomic1:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libatomic1:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libatomic1:amd64 10.2.1-6
2022-10-25 13:31:26 configure patch:amd64 2.7.6-7 <none>
2022-10-25 13:31:26 status unpacked patch:amd64 2.7.6-7
2022-10-25 13:31:26 status half-configured patch:amd64 2.7.6-7
2022-10-25 13:31:26 status installed patch:amd64 2.7.6-7
2022-10-25 13:31:26 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-10-25 13:31:26 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 13:31:26 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 13:31:26 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-10-25 13:31:26 configure libubsan1:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libubsan1:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libubsan1:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libubsan1:amd64 10.2.1-6
2022-10-25 13:31:26 configure libnsl-dev:amd64 1.3.0-2 <none>
2022-10-25 13:31:26 status unpacked libnsl-dev:amd64 1.3.0-2
2022-10-25 13:31:26 status half-configured libnsl-dev:amd64 1.3.0-2
2022-10-25 13:31:26 status installed libnsl-dev:amd64 1.3.0-2
2022-10-25 13:31:26 configure libcrypt-dev:amd64 1:4.4.18-4 <none>
2022-10-25 13:31:26 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2022-10-25 13:31:26 status half-configured libcrypt-dev:amd64 1:4.4.18-4
2022-10-25 13:31:26 status installed libcrypt-dev:amd64 1:4.4.18-4
2022-10-25 13:31:26 configure libssh2-1:amd64 1.9.0-2 <none>
2022-10-25 13:31:26 status unpacked libssh2-1:amd64 1.9.0-2
2022-10-25 13:31:26 status half-configured libssh2-1:amd64 1.9.0-2
2022-10-25 13:31:26 status installed libssh2-1:amd64 1.9.0-2
2022-10-25 13:31:26 configure re2c:amd64 2.0.3-1 <none>
2022-10-25 13:31:26 status unpacked re2c:amd64 2.0.3-1
2022-10-25 13:31:26 status half-configured re2c:amd64 2.0.3-1
2022-10-25 13:31:26 status installed re2c:amd64 2.0.3-1
2022-10-25 13:31:26 configure libbinutils:amd64 2.35.2-2 <none>
2022-10-25 13:31:26 status unpacked libbinutils:amd64 2.35.2-2
2022-10-25 13:31:26 status half-configured libbinutils:amd64 2.35.2-2
2022-10-25 13:31:26 status installed libbinutils:amd64 2.35.2-2
2022-10-25 13:31:26 configure libisl23:amd64 0.23-1 <none>
2022-10-25 13:31:26 status unpacked libisl23:amd64 0.23-1
2022-10-25 13:31:26 status half-configured libisl23:amd64 0.23-1
2022-10-25 13:31:26 status installed libisl23:amd64 0.23-1
2022-10-25 13:31:26 configure libc-dev-bin:amd64 2.31-13+deb11u5 <none>
2022-10-25 13:31:26 status unpacked libc-dev-bin:amd64 2.31-13+deb11u5
2022-10-25 13:31:26 status half-configured libc-dev-bin:amd64 2.31-13+deb11u5
2022-10-25 13:31:26 status installed libc-dev-bin:amd64 2.31-13+deb11u5
2022-10-25 13:31:26 configure openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-10-25 13:31:26 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-10-25 13:31:26 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2022-10-25 13:31:26 status installed openssl:amd64 1.1.1n-0+deb11u3
2022-10-25 13:31:26 configure libcc1-0:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libcc1-0:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libcc1-0:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libcc1-0:amd64 10.2.1-6
2022-10-25 13:31:26 configure liblsan0:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked liblsan0:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured liblsan0:amd64 10.2.1-6
2022-10-25 13:31:26 status installed liblsan0:amd64 10.2.1-6
2022-10-25 13:31:26 configure cpp-10:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked cpp-10:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured cpp-10:amd64 10.2.1-6
2022-10-25 13:31:26 status installed cpp-10:amd64 10.2.1-6
2022-10-25 13:31:26 configure libitm1:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libitm1:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libitm1:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libitm1:amd64 10.2.1-6
2022-10-25 13:31:26 configure libgdbm6:amd64 1.19-2 <none>
2022-10-25 13:31:26 status unpacked libgdbm6:amd64 1.19-2
2022-10-25 13:31:26 status half-configured libgdbm6:amd64 1.19-2
2022-10-25 13:31:26 status installed libgdbm6:amd64 1.19-2
2022-10-25 13:31:26 configure libtsan0:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libtsan0:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libtsan0:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libtsan0:amd64 10.2.1-6
2022-10-25 13:31:26 configure libctf0:amd64 2.35.2-2 <none>
2022-10-25 13:31:26 status unpacked libctf0:amd64 2.35.2-2
2022-10-25 13:31:26 status half-configured libctf0:amd64 2.35.2-2
2022-10-25 13:31:26 status installed libctf0:amd64 2.35.2-2
2022-10-25 13:31:26 configure libgcc-10-dev:amd64 10.2.1-6 <none>
2022-10-25 13:31:26 status unpacked libgcc-10-dev:amd64 10.2.1-6
2022-10-25 13:31:26 status half-configured libgcc-10-dev:amd64 10.2.1-6
2022-10-25 13:31:26 status installed libgcc-10-dev:amd64 10.2.1-6
